# alpha_rad_px: 1.140017e-04
# alpha_rad_px_2sigma: 4.94e-08
# d_mm: 20.000433
# d_mm_2sigma: 0.000506
# epsilon_640: 0.737507
# epsilon_638: 0.233143
# Y_B: 0.637487
# Y_B_note: median(amp_638)/median(amp_640), all peaks included
# slope_orders_per_px2: 0.000813
# cx: 109.7221
# cy: 110.6258
# r_max_px: 110.0
r_grid,profile,sigma_profile
62.5486477338506,2611.632575757576,12.488836474996518
63.190189111918315,2734.5731707317073,13.1179284938429
63.82528234694044,2692.4308300395255,12.90611103448635
64.45411804790547,2563.09765625,13.722916196407397
65.07687761409578,2402.8492063492063,13.759459439886196
65.69373384628604,2285.965250965251,12.410541344348472
66.3048515067588,2301.873469387755,12.050685044358865
66.91038783328041,2358.2431372549017,11.403444797791984
67.51049301158055,2499.15444015444,10.386651405912431
68.10531061035795,2541.2345679012346,10.871879399771325
68.69497798238238,2448.867924528302,11.406621759728207
69.27962663486768,2320.7579365079364,11.969680293023384
69.85938257194472,2201.968,13.101580816985406
70.43436661176133,2241.0551181102364,13.153657745159489
71.00469468046931,2353.730923694779,13.938443410387046
71.57047808512483,2547.8346153846155,13.31408466328154
72.131823767322,2688.364,13.512504357668123
72.68883453919636,2693.9007633587785,12.844863658413432
73.24160930327332,2600.2131147540986,13.460460799643501
73.79024325749306,2438.826923076923,13.540562124812043
74.3348280866154,2329.008230452675,12.686818977381916
74.87545214109451,2287.0190839694656,12.02528445083441
75.41220060441148,2367.01968503937,11.169727010988783
75.9451556497626,2464.8326530612244,10.644826075548817
76.47439658691877,2534.422053231939,10.318677212921784
77.0,2471.2510460251046,11.229020935736035
77.5220398768419,2357.7386363636365,12.259041755699315
78.04058773057346,2250.3654618473897,12.92371084272197
78.55571271397135,2226.2744360902257,12.93043621709621
79.0674817271087,2324.314049586777,13.488888320576358
79.57595951877259,2498.9338521400778,12.516191802525322
80.0812087820857,2632.7894736842104,12.956237991038162
80.58329024473167,2683.310606060606,12.354672024458681
81.08226275415193,2614.26582278481,13.380981100876
81.57818335805229,2472.9135338345864,12.946171455371976
82.0711073805311,2336.9878542510123,12.486504024849724
82.56108849411649,2284.460966542751,11.284739676607986
83.04817878797824,2337.63179916318,10.749863231791412
83.5324288325598,2430.216417910448,9.460437671050965
84.01388774085707,2494.472340425532,10.017826184885608
84.49260322655469,2475.0384615384614,10.018540220839421
84.9686216592141,2360.0833333333335,11.499366848882161
85.44198811669432,2249.0193798449613,12.072563256957705
85.9127464349732,2195.518218623482,13.070010875456507
86.38093925552481,2286.8980392156864,12.19685726598356
86.84660807039809,2403.934362934363,12.625876916475454
87.30979326513149,2583.696,11.885678707419281
87.77053415962938,2633.08984375,12.314978913979516
88.22886904711707,2610.4939759036147,11.587692279332758
88.68483523128404,2483.6303501945526,12.439627181500645
89.13846906171693,2367.917695473251,12.160039370888459
89.58980596771785,2283.275471698113,10.63627523526243
90.03888049059695,2312.8728813559323,10.938551062840288
90.48572631452248,2402.1492537313434,9.266374690419445
90.93037629600646,2463.9203187250996,9.193840139072757
91.37286249209882,2472.9558232931727,9.724319324109867
91.81321618735872,2365.7067669172934,10.854495548044367
92.25146791966691,2268.5826446280994,11.969508000166854
92.68764750493995,2194.749063670412,12.190627600737495
93.12178406080217,2239.794117647059,13.0173444072
93.55390602926921,2374.887640449438,11.783676656648824
93.98404119849285,2509.1093117408905,12.818004331425893
94.41221672361405,2622.242914979757,11.755471488624682
94.8384591467688,2583.39552238806,11.94367027639478
95.26279441628824,2511.1065573770493,12.013171932404978
95.68524790513253,2376.177358490566,12.146518978942742
96.10584442859515,2308.1344537815125,11.392334495004992
96.52460826131335,2302.881040892193,9.923712405141218
96.94156315361677,2359.396694214876,9.971806370774164
97.3567323472462,2454.55859375,9.444743121128873
97.77013859047148,2451.4269230769232,9.752849387568972
98.18180415263649,2394.3,11.370359554072548
98.59175083815752,2276.223938223938,12.187459754781333
99.0,2202.6600790513835,12.439830197808837
99.40657255265704,2230.2979591836734,12.602436744324637
99.81148898465213,2302.9154411764707,12.048898048893248
100.21476937058729,2458.391666666667,12.000366880483433
100.61643338275645,2566.6082089552237,11.193998670317455
101.01650030234335,2582.305439330544,11.562442378427939
101.41498903022176,2534.505928853755,11.454412638386016
101.81191809737535,2399.5075187969924,11.373311001383247
102.20730567495326,2326.9789915966385,10.982054307989696
102.60116958397697,2293.237037037037,9.824873133719585
102.99352730471303,2340.744769874477,9.30235288561788
103.38439598572569,2432.72265625,8.907433196996891
103.77379245262264,2458.2623574144486,8.852240927047916
104.16173321650648,2419.5933609958506,10.706502362613412
104.54823448214385,2306.718045112782,11.70861982174854
104.93331215586402,2225.242677824268,12.6758756285034
105.31698185319719,2222.0039215686274,12.184034779794386
105.69925890626355,2271.9293680297396,11.596820757536669
106.0801583709225,2414.201680672269,12.04654186688588
106.45969503369183,2538.763779527559,10.284121588219106
106.83788341844541,2567.223880597015,10.772754833493297
107.2147377928986,2549.0548523206753,11.245341048324423
107.59027217488888,2434.5954198473282,11.578626051394744
107.96450033846003,2345.2709163346613,10.732475854280723
108.33743581975715,2315.7976190476193,9.862389874746393
108.70909192273969,2333.9619771863117,8.631816545477722
109.07948172471913,2411.934693877551,9.172492926716426
109.4486180817282,2451.4358974358975,9.674986726126969
109.81651363372754,2419.086274509804,10.325340587047755
